comparison,scenario,regime,seed_index,metric,left_value,right_value,delta
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,0,maker_fills,24,24,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,0,market_maker_filled_quantity,230,230,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,1,fill_rate,0.021,0.021,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,1,gross_spread_capture,1041.04604167,1121.04604167,-80
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,1,inventory_pnl,-1156.19040499,-1156.19040499,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,1,adverse_selection_cost,96.0085266846,82.2988709339,13.7096557507
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,1,fee_pnl,4.2,4.2,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,1,net_pnl_after_fees,-110.94436332,-30.94436332,-80
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,1,terminal_liquidation_cost,0,0,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,1,terminal_inventory_penalty,0,0,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,1,risk_adjusted_pnl,-0.1049696668,-0.0292779138106,-0.0756917529894
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,1,maximum_drawdown,1056.91831461,1056.91831461,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,1,inventory_variance,223.769884,223.769884,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,1,pre_liquidation_inventory,30,30,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,1,final_inventory,30,30,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,1,maker_fills,21,21,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,1,market_maker_filled_quantity,210,210,0
avellaneda_stoikov_minus_naive,quote_size_1,trending,0,fill_rate,0.023,0.023,0
avellaneda_stoikov_minus_naive,quote_size_1,trending,0,gross_spread_capture,106.392389624,118.392389624,-12
avellaneda_stoikov_minus_naive,quote_size_1,trending,0,inventory_pnl,-577.835682165,-577.835682165,0
avellaneda_stoikov_minus_naive,quote_size_1,trending,0,adverse_selection_cost,6.90555339221,6.90555339221,0
